Date,Category,Merchant,Amount
2025-03-28,Healthcare,Pharmacy,-6.01
2025-03-28,Dining Out,Tapas Bar,-34.81
2025-03-28,Entertainment,Coffee Shop,-8.85
2025-03-28,Entertainment,Coffee Shop,-5.07
2025-03-28,Healthcare,Pharmacy,-14.62
2025-03-29,Groceries,Aldi,-46.42
2025-03-31,Entertainment,Coffee Shop,-14.54
2025-03-31,Entertainment,Coffee Shop,-12.22
2025-03-31,Entertainment,Coffee Shop,-7.44
2025-04-01,Healthcare,Pharmacy,-7.22
2025-04-01,Salary,Monthly Salary,2849.67
2025-04-01,Entertainment,Coffee Shop,-5.15
2025-04-01,Healthcare,Pharmacy,-12.07
2025-04-02,Entertainment,Coffee Shop,-12.02
2025-04-02,Healthcare,Pharmacy,-8.25
2025-04-02,Rent,Rent Transfer,-1045.85
2025-04-03,Entertainment,Coffee Shop,-6.45
2025-04-03,Healthcare,Pharmacy,-8.21
2025-04-03,Entertainment,Coffee Shop,-9.97
2025-04-03,Entertainment,Coffee Shop,-10.91
2025-04-04,Transport,Public Transport,-34.24
2025-04-04,Entertainment,Coffee Shop,-13.15
2025-04-04,Dining Out,Sushi House,-21.16
2025-04-04,Entertainment,Coffee Shop,-14.3
2025-04-04,Healthcare,Pharmacy,-8.01
2025-04-04,Entertainment,Coffee Shop,-12.62
2025-04-04,Entertainment,Coffee Shop,-5.9
2025-04-04,Entertainment,Coffee Shop,-5.41
2025-04-05,Healthcare,Pharmacy,-8.17
2025-04-05,Entertainment,Coffee Shop,-10.3
2025-04-05,Entertainment,Coffee Shop,-12.71
2025-04-05,Subscriptions,Spotify,-7.46
2025-04-05,Subscriptions,Netflix,-13.93
2025-04-05,Subscriptions,Notion,-11.81
2025-04-05,Entertainment,Coffee Shop,-13.71
2025-04-05,Groceries,Mercadona,-50.65
2025-04-06,Entertainment,Coffee Shop,-11.6
2025-04-06,Entertainment,Coffee Shop,-13.77
2025-04-06,Healthcare,Pharmacy,-14.08
2025-04-06,Entertainment,Coffee Shop,-6.2
2025-04-07,Healthcare,Pharmacy,-11.33
2025-04-08,Healthcare,Pharmacy,-11.06
2025-04-08,Entertainment,Coffee Shop,-11.38
2025-04-08,Entertainment,Coffee Shop,-10.11
2025-04-08,Entertainment,Coffee Shop,-9.89
2025-04-09,Entertainment,Coffee Shop,-8.64
2025-04-10,Crypto Wallet,Coinbase,-236.61
2025-04-10,Healthcare,Pharmacy,-9.66
2025-04-11,Entertainment,Coffee Shop,-13.87
2025-04-11,Entertainment,Coffee Shop,-12.26
2025-04-11,Entertainment,Coffee Shop,-11.92
2025-04-11,Transport,Public Transport,-29.38
2025-04-11,Dining Out,Café Aroma,-35.19
2025-04-11,Healthcare,Pharmacy,-6.08
2025-04-11,Healthcare,Pharmacy,-7.9
2025-04-12,Groceries,Mercadona,-58.37
2025-04-12,Healthcare,Pharmacy,-5.31
2025-04-12,Entertainment,Coffee Shop,-6.1
2025-04-13,Healthcare,Pharmacy,-10.55
2025-04-13,Healthcare,Pharmacy,-13.04
2025-04-13,Healthcare,Pharmacy,-11.64
2025-04-14,Healthcare,Pharmacy,-12.3
2025-04-14,Entertainment,Coffee Shop,-11.23
2025-04-14,Healthcare,Pharmacy,-10.03
2025-04-14,Healthcare,Pharmacy,-8.49
2025-04-14,Healthcare,Pharmacy,-5.37
2025-04-15,Savings,Revolut Vault,-196.76
2025-04-15,Healthcare,Pharmacy,-13.63
2025-04-15,Entertainment,Coffee Shop,-11.5
2025-04-16,Entertainment,Coffee Shop,-11.34
2025-04-16,Healthcare,Pharmacy,-9.1
2025-04-17,Healthcare,Pharmacy,-8.57
2025-04-17,Healthcare,Pharmacy,-10.22
2025-04-17,Healthcare,Pharmacy,-5.93
2025-04-17,Healthcare,Pharmacy,-5.05
2025-04-17,Healthcare,Pharmacy,-14.87
2025-04-17,Entertainment,Coffee Shop,-12.56
2025-04-18,Dining Out,Café Aroma,-24.26
2025-04-18,Healthcare,Pharmacy,-33.49
2025-04-18,Entertainment,Coffee Shop,-13.67
2025-04-18,Healthcare,Pharmacy,-14.86
2025-04-19,Groceries,Aldi,-55.12
2025-04-19,Healthcare,Pharmacy,-7.65
2025-04-20,Healthcare,Pharmacy,-5.51
2025-04-20,Entertainment,Coffee Shop,-10.91
2025-04-21,Healthcare,Pharmacy,-14.9
2025-04-21,Healthcare,Pharmacy,-11.1
2025-04-22,Healthcare,Pharmacy,-10.77
2025-04-23,Healthcare,Pharmacy,-12.02
2025-04-24,Healthcare,Pharmacy,-11.72
2025-04-24,Healthcare,Pharmacy,-8.58
2025-04-24,Entertainment,Coffee Shop,-10.39
2025-04-24,Entertainment,Coffee Shop,-14.43
2025-04-25,Index ETF,Vanguard,-472.8
2025-04-25,Entertainment,Coffee Shop,-12.98
2025-04-25,Healthcare,Pharmacy,-32.37
2025-04-25,Dining Out,Café Aroma,-21.63
2025-04-25,Entertainment,Coffee Shop,-7.28
2025-04-25,Entertainment,Coffee Shop,-10.43
2025-04-26,Entertainment,Coffee Shop,-6.95
2025-04-26,Groceries,Carrefour,-50.19
2025-04-26,Entertainment,Coffee Shop,-9.17
2025-04-27,Entertainment,Coffee Shop,-8.68
2025-04-27,Healthcare,Pharmacy,-6.38
2025-04-28,Entertainment,Coffee Shop,-10.78
2025-04-28,Healthcare,Pharmacy,-7.16
2025-04-28,Healthcare,Pharmacy,-10.19
2025-04-28,Entertainment,Coffee Shop,-5.37
2025-04-29,Entertainment,Coffee Shop,-13.99
2025-04-29,Entertainment,Coffee Shop,-13.53
2025-04-30,Healthcare,Pharmacy,-13.93
2025-04-30,Entertainment,Coffee Shop,-8.87
2025-04-30,Entertainment,Coffee Shop,-8.14
2025-04-30,Entertainment,Coffee Shop,-14.15
2025-05-01,Entertainment,Coffee Shop,-13.92
2025-05-01,Healthcare,Pharmacy,-13.87
2025-05-01,Salary,Monthly Salary,2864.77
2025-05-02,Healthcare,Pharmacy,-11.45
2025-05-02,Healthcare,Pharmacy,-8.38
2025-05-02,Healthcare,Pharmacy,-24.95
2025-05-02,Dining Out,Tapas Bar,-43.72
2025-05-02,Entertainment,Coffee Shop,-5.09
2025-05-02,Entertainment,Coffee Shop,-5.24
2025-05-02,Rent,Rent Transfer,-1095.69
2025-05-03,Groceries,Mercadona,-61.41
2025-05-03,Healthcare,Pharmacy,-14.13
2025-05-04,Entertainment,Coffee Shop,-10.36
2025-05-05,Subscriptions,Notion,-14.76
2025-05-05,Subscriptions,Netflix,-7.16
2025-05-05,Subscriptions,Spotify,-12.66
